gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
6856-2,1476989868193.0,49,far,target,245,28,50,3,3,distr1,84,27,50,2,1,distr2,5,55,50,1,2,51,37,51,True,1476989867044.0,speaker,purple,309.0,1.0,1,6,6.0,1.0,human
5557-c,1476990421997.0,25,split,target,268,71,50,2,1,distr1,300,62,50,3,2,distr2,181,70,50,1,3,17,54,53,True,1476990420397.0,speaker,purple,309.0,1.0,1,6,6.0,1.0,human
8680-3,1476990405809.0,24,close,target,37,9,50,3,1,distr2,224,13,50,2,3,distr1,118,5,50,1,2,11,19,19,True,1476990404459.0,speaker,brownish,393.0,1.0,1,8,8.0,1.0,human
7859-5,1476471967383.0,4,split,target,108,84,50,2,3,distr2,338,44,50,3,1,distr1,128,69,50,1,2,6,85,83,True,1476471951620.0,speaker,Click on the green that is more neon,749.0,1.0,8,29,14.0,3.0,human
2761-9,1476473622011.0,6,far,target,342,57,50,1,1,distr1,163,55,50,3,2,distr2,247,70,50,2,3,74,34,61,True,1476473618357.0,speaker,the pink one,761.0,1.0,3,10,7.0,2.0,human
0069-8,1476498262380.0,32,far,target,81,45,50,3,3,distr2,320,4,50,2,1,distr1,359,81,50,1,2,63,38,29,True,1476498258729.0,speaker,you = awesome,324.0,1.0,2,10,7.0,1.0,human
2066-9,1476993099914.0,49,far,target,327,12,50,1,1,distr1,291,70,50,2,3,distr2,73,84,50,3,2,24,58,96,True,1476993090652.0,speaker,grey/purple,582.0,1.0,1,10,10.0,2.0,human
5957-a,1459883706882.0,35,close,target,92,66,50,1,2,distr1,143,89,50,3,3,distr2,125,33,50,2,1,11,15,18,True,1459883702907.0,speaker,yellow green,99.0,1.0,2,11,11.0,2.0,human
7286-3,1476992500799.0,21,split,target,193,39,50,2,1,distr1,186,48,50,3,3,distr2,324,28,50,1,2,8,44,50,True,1476992481867.0,speaker,lighter blue. not the aqua one,577.0,1.0,6,24,18.0,4.0,human
7753-a,1476991447706.0,29,split,target,50,36,50,3,3,distr1,40,71,50,1,2,distr2,345,97,50,2,1,14,47,42,True,1476991441063.0,speaker,closer to brown - not the one closer to yellow ketchup.  kind of olive tent,372.0,1.0,14,58,46.0,9.0,human
3159-0,1476995207557.0,3,split,target,193,17,50,1,2,distr2,329,73,50,2,1,distr1,67,4,50,3,3,14,36,35,True,1476995205434.0,speaker,bluish grey,345.0,1.0,2,10,10.0,2.0,human
8636-b,1476997853400.0,26,far,target,327,39,50,3,3,distr1,188,99,50,2,1,distr2,213,67,50,1,2,69,35,34,True,1476997847687.0,speaker,pink,258.0,1.0,1,4,4.0,1.0,human
1228-a,1476988236780.0,13,far,target,160,28,50,1,3,distr1,48,49,50,3,1,distr2,291,81,50,2,2,29,44,70,True,1476988230757.0,speaker,dark teal,236.0,1.0,2,8,8.0,2.0,human
2901-6,1476990901447.0,10,close,target,122,16,50,1,3,distr1,81,11,50,3,1,distr2,115,27,50,2,2,9,8,14,True,1476990842224.0,speaker,i've done them another time lol thanks,279.0,1.0,7,32,24.0,5.0,human
2196-6,1476498484998.0,10,close,distr2,318,23,50,3,1,distr1,328,90,50,1,2,target,311,33,50,2,3,14,6,17,False,1476498425764.0,speaker,the medium tone,939.0,0.0,3,13,10.0,2.0,human
7405-4,1476995262941.0,21,close,target,92,23,50,3,3,distr2,92,34,50,2,2,distr1,125,45,50,1,1,13,6,8,True,1476995261499.0,speaker,brown,222.0,1.0,1,5,5.0,1.0,human
1754-1,1476992266396.0,24,split,target,21,0,50,2,2,distr2,166,57,50,3,1,distr1,123,8,50,1,3,13,30,22,True,1476992261030.0,listener,"you can jsut say bright, dull or mid",609.0,1.0,8,28,23.0,6.0,human
1369-5,1476489823470.0,2,close,distr1,282,35,50,2,3,distr2,234,39,50,3,1,target,267,54,50,1,2,10,12,15,False,1476489739020.0,speaker,not the blue/greenish,849.0,0.0,3,18,12.0,2.0,human
7241-4,1476488079417.0,47,split,target,355,14,50,3,1,distr2,189,86,50,1,2,distr1,261,14,50,2,3,15,54,41,True,1476488077028.0,speaker,brownish pink,792.0,1.0,2,12,12.0,2.0,human
1930-7,1476989639390.0,35,close,target,325,30,50,1,3,distr1,276,4,50,2,1,distr2,268,19,50,3,2,19,13,15,True,1476989637742.0,speaker,pink,356.0,1.0,1,4,4.0,1.0,human
6754-4,1476473717331.0,33,split,distr1,15,11,50,1,1,target,142,0,50,2,3,distr2,184,87,50,3,2,10,33,41,False,1476473714086.0,speaker,brown,236.0,0.0,1,5,5.0,1.0,human
9272-8,1476494746178.0,48,far,target,220,71,50,2,1,distr2,84,94,50,1,2,distr1,203,91,50,3,3,22,77,69,True,1476494743918.0,speaker,dark blue,,1.0,2,8,8.0,2.0,human
8502-d,1476995948027.0,8,close,target,320,32,50,2,3,distr2,289,86,50,1,2,distr1,295,22,50,3,1,7,17,17,True,1476995946256.0,speaker,most mixed one not pink but not purple,254.0,1.0,8,31,18.0,4.0,human
4915-7,1476996100383.0,11,split,target,308,24,50,2,1,distr1,306,5,50,1,2,distr2,146,87,50,3,3,16,79,51,True,1476996094264.0,speaker,pink grey,236.0,1.0,2,8,8.0,2.0,human
2400-e,1459887378690.0,49,close,distr2,346,15,50,2,1,target,325,14,50,1,2,distr1,259,6,50,3,3,11,5,13,False,1459887367336.0,speaker,it is one of the red/pink ones,98.0,0.0,7,23,14.0,4.0,human
8858-2,1476991871740.0,26,split,target,274,68,50,3,2,distr1,244,33,50,2,3,distr2,197,44,50,1,1,14,34,27,True,1476991855058.0,speaker,pure purple,254.0,1.0,2,10,10.0,2.0,human
5451-1,1476991146796.0,14,far,target,41,66,50,2,1,distr2,264,27,50,3,2,distr1,20,84,50,1,3,25,57,44,True,1476991145109.0,speaker,mustard,382.0,1.0,1,7,7.0,1.0,human
8775-2,1476993020559.0,48,far,target,35,91,50,1,3,distr1,354,16,50,2,1,distr2,73,44,50,3,2,35,33,45,True,1476993018113.0,speaker,orange,254.0,1.0,1,6,6.0,1.0,human
5781-2,1476992874700.0,21,split,target,330,75,50,3,3,distr1,346,81,50,2,1,distr2,86,21,50,1,2,14,61,55,True,1476992870811.0,speaker,"not red pink, but bright pink. fuschia?",281.0,1.0,7,30,24.0,5.0,human
2068-1,1476992803386.0,44,far,target,44,38,50,1,2,distr2,260,66,50,2,1,distr1,128,80,50,3,3,33,66,74,True,1476992802099.0,speaker,brownish,339.0,1.0,1,8,8.0,1.0,human
3671-d,1476491117218.0,32,split,target,120,99,50,2,2,distr2,36,20,50,1,3,distr1,137,88,50,3,1,5,41,39,True,1476491114192.0,speaker,neon green,286.0,1.0,2,9,9.0,2.0,human
7941-7,1476992071057.0,30,close,target,152,64,50,2,2,distr2,147,39,50,3,1,distr1,146,91,50,1,3,10,9,19,True,1476992064901.0,speaker,it's the blue green,321.0,1.0,4,16,9.0,2.0,human
2362-3,1476490151364.0,49,split,target,86,45,50,1,3,distr1,62,62,50,2,1,distr2,356,70,50,3,2,13,66,61,True,1476490150295.0,listener,thanks you too. good experiment so far,568.0,1.0,7,31,23.0,4.0,human
0856-3,1476495753426.0,35,far,target,333,51,50,1,1,distr1,92,18,50,2,3,distr2,257,20,50,3,2,55,22,39,True,1476495751214.0,speaker,pink,491.0,1.0,1,4,4.0,1.0,human
7850-e,1459882834990.0,22,far,target,123,97,50,2,2,distr1,185,86,50,3,1,distr2,60,53,50,1,3,41,23,41,True,1459882834051.0,speaker,green,131.0,1.0,1,5,5.0,1.0,human
0322-8,1476989388883.0,21,close,target,208,20,50,2,1,distr1,231,67,50,3,2,distr2,245,30,50,1,3,19,15,11,True,1476989387506.0,speaker,gray,222.0,1.0,1,4,4.0,1.0,human
5567-1,1476991452520.0,16,split,target,345,23,50,1,2,distr2,244,53,50,3,3,distr1,345,8,50,2,1,12,30,31,True,1476991450110.0,speaker,pink,222.0,1.0,1,4,4.0,1.0,human
0968-a,1476470910128.0,4,far,target,327,80,50,2,2,distr2,252,96,50,1,1,distr1,244,11,50,3,3,28,32,28,True,1476470908661.0,speaker,pink,738.0,1.0,1,4,4.0,1.0,human
1807-1,1476502464144.0,14,far,target,72,98,50,1,2,distr1,276,60,50,2,1,distr2,200,62,50,3,3,98,63,39,True,1476502462845.0,speaker,The target is yellow,398.0,1.0,4,17,12.0,2.0,human
3942-1,1476993761751.0,22,far,target,189,45,50,3,3,distr1,123,39,50,2,1,distr2,334,26,50,1,2,33,51,63,True,1476993759725.0,speaker,bluish,273.0,1.0,1,6,6.0,1.0,human
9346-5,1459880291364.0,6,far,target,35,46,50,1,2,distr2,173,27,50,2,3,distr1,254,54,50,3,1,59,34,43,True,1459880288988.0,speaker,gold,77.0,1.0,1,4,4.0,1.0,human
5239-4,1476991120048.0,13,close,target,246,43,50,2,3,distr1,243,26,50,3,2,distr2,248,74,50,1,1,8,10,18,True,1476991112882.0,speaker,not the dullest and not the brightest,339.0,1.0,7,31,16.0,2.0,human
9175-b,1476995254807.0,49,split,distr1,156,76,50,3,1,target,92,61,50,2,3,distr2,90,14,50,1,2,16,23,25,False,1476995253987.0,speaker,green,535.0,0.0,1,5,5.0,1.0,human
8961-d,1459891441891.0,3,close,target,130,84,50,1,3,distr2,81,71,50,2,2,distr1,90,35,50,3,1,18,11,14,True,1459891436120.0,speaker,bright,165.0,1.0,1,6,6.0,1.0,human
5936-8,1476473556872.0,48,split,target,19,28,50,2,2,distr1,5,22,50,1,3,distr2,150,52,50,3,1,9,45,52,True,1476473551277.0,listener,right,590.0,1.0,1,5,5.0,1.0,human
6977-4,1476478238864.0,33,far,target,281,20,50,1,2,distr2,121,44,50,2,3,distr1,227,88,50,3,1,24,48,66,True,1476478237198.0,speaker,purple,236.0,1.0,1,6,6.0,1.0,human
0473-c,1476993169739.0,44,far,target,60,84,50,1,1,distr2,114,75,50,2,2,distr1,56,12,50,3,3,32,23,30,True,1476993168711.0,speaker,yellow,589.0,1.0,1,6,6.0,1.0,human
0716-6,1476990507340.0,49,far,target,291,59,50,3,2,distr2,153,3,50,2,1,distr1,85,70,50,1,3,94,30,35,True,1476990505827.0,speaker,Purple on the right,385.0,1.0,4,16,11.0,2.0,human
7040-8,1476990517002.0,41,split,target,149,52,50,3,2,distr1,101,91,50,1,1,distr2,340,20,50,2,3,19,57,68,True,1476990513706.0,listener,duller green?,485.0,1.0,2,11,11.0,2.0,human
3120-1,1476996709608.0,7,split,target,258,19,50,2,3,distr2,47,25,50,3,1,distr1,215,61,50,1,2,19,41,47,True,1476996707416.0,speaker,pale purple,600.0,1.0,2,10,10.0,2.0,human
5519-4,1476994365589.0,41,close,target,122,39,50,2,3,distr1,77,67,50,1,2,distr2,92,79,50,3,1,17,16,7,True,1476994362210.0,speaker,darkest green,312.0,1.0,2,12,12.0,2.0,human
7209-c,1459892017805.0,34,far,target,54,67,50,2,3,distr2,118,99,50,3,2,distr1,172,44,50,1,1,35,27,31,True,1459892013869.0,speaker,pick the one you would most like to squirt on a hotdog,81.0,1.0,12,43,23.0,5.0,human
6983-1,1459882632029.0,2,close,target,108,55,50,1,1,distr1,88,76,50,2,2,distr2,72,37,50,3,3,9,13,15,True,1459882343813.0,speaker,"Yes, it is messed up over here too",,1.0,8,26,9.0,2.0,human
2069-6,1476478321890.0,6,far,target,58,51,50,3,2,distr1,322,85,50,1,1,distr2,2,69,50,2,3,72,53,28,True,1476478320384.0,speaker,dirty yellowish,533.0,1.0,2,14,14.0,2.0,human
9601-f,1476502086687.0,15,close,target,185,8,50,3,1,distr2,320,5,50,1,2,distr1,226,17,50,2,3,16,18,13,True,1476502084725.0,speaker,light gray,958.0,1.0,2,9,9.0,2.0,human
3800-7,1476500760738.0,41,split,target,265,42,50,2,3,distr1,272,75,50,1,2,distr2,184,2,50,3,1,9,24,27,True,1476500757659.0,listener,ok,348.0,1.0,1,2,2.0,1.0,human
0662-1,1476990837021.0,28,split,target,26,61,50,3,3,distr2,321,85,50,2,2,distr1,0,98,50,1,1,19,43,33,True,1476990835283.0,speaker,brown,357.0,1.0,1,5,5.0,1.0,human
9148-7,1476460331791.0,19,split,target,156,30,50,1,1,distr2,352,45,50,3,3,distr1,89,30,50,2,2,14,59,57,True,1476460322094.0,speaker,blue green,217.0,1.0,2,9,9.0,2.0,human
9224-2,1476478619141.0,9,far,target,171,37,50,2,3,distr1,285,9,50,3,1,distr2,86,57,50,1,2,38,27,53,True,1476478617436.0,speaker,blue green,345.0,1.0,2,9,9.0,2.0,human
8456-e,1476992276230.0,12,split,target,267,8,50,2,2,distr1,10,12,50,3,1,distr2,240,71,50,1,3,13,31,39,True,1476992263682.0,speaker,The purple/gray ine (not the brown/gray),640.0,1.0,6,31,22.0,5.0,human
7469-3,1459893863065.0,37,split,target,335,19,50,3,2,distr1,262,13,50,1,3,distr2,294,68,50,2,1,12,22,22,True,1459893861218.0,speaker,faded pink,116.0,1.0,2,9,9.0,2.0,human
6207-d,1459896749461.0,18,split,target,326,78,50,1,1,distr1,306,31,50,2,2,distr2,4,32,50,3,3,13,21,23,True,1459896744669.0,speaker,bright neon pink,2.0,1.0,3,14,14.0,3.0,human
9288-a,1476503350826.0,47,split,target,60,83,50,2,3,distr2,7,89,50,3,1,distr1,74,58,50,1,2,13,60,62,True,1476503349229.0,listener,sorry. I see it now.,879.0,1.0,5,14,11.0,3.0,human
8580-e,1476988917029.0,32,far,target,218,53,50,3,3,distr2,24,39,50,1,2,distr1,60,11,50,2,1,42,42,21,True,1476988914763.0,speaker,blue,263.0,1.0,1,4,4.0,1.0,human
6803-b,1476993768800.0,24,split,target,81,92,50,1,2,distr1,70,41,50,3,3,distr2,190,26,50,2,1,17,45,35,True,1476993766611.0,speaker,the target is the brightest yellow,370.0,1.0,6,29,21.0,3.0,human
1742-8,1476472412398.0,7,close,distr2,122,42,50,3,1,distr1,82,61,50,2,2,target,103,32,50,1,3,14,6,13,False,1476472406123.0,speaker,the darkest green,88.0,0.0,3,15,12.0,2.0,human
3788-d,1476495760058.0,11,far,target,300,42,50,1,3,distr2,225,68,50,2,2,distr1,159,28,50,3,1,42,24,45,True,1476495756545.0,speaker,Purple,923.0,1.0,1,6,6.0,1.0,human
0082-c,1476479099618.0,32,close,distr1,288,59,50,1,3,target,277,57,50,3,1,distr2,277,94,50,2,2,5,6,8,False,1476479097445.0,speaker,darkest purple,770.0,0.0,2,13,13.0,2.0,human
6765-6,1476992556539.0,46,split,target,67,28,50,1,2,distr2,339,98,50,3,1,distr1,76,62,50,2,3,15,56,75,True,1476992554469.0,speaker,dull green,539.0,1.0,2,9,9.0,2.0,human
7601-b,1459892690893.0,18,close,target,228,43,50,1,2,distr2,273,57,50,3,3,distr1,283,50,50,2,1,19,17,5,True,1459892688812.0,speaker,bluish,72.0,1.0,1,6,6.0,1.0,human
4574-0,1476992905412.0,20,close,distr2,304,41,50,2,2,distr1,306,86,50,3,3,target,297,55,50,1,1,7,5,10,False,1476992895769.0,listener,oh man,636.0,0.0,2,5,5.0,2.0,human
4478-9,1476502698684.0,41,close,target,271,48,50,1,1,distr2,292,20,50,2,2,distr1,325,34,50,3,3,18,14,9,True,1476502697155.0,speaker,darkest purple,,1.0,2,13,13.0,2.0,human
2965-7,1476997177993.0,36,close,target,282,85,50,2,1,distr1,259,48,50,3,2,distr2,280,62,50,1,3,12,5,8,True,1476997175815.0,speaker,brightest,226.0,1.0,1,9,9.0,1.0,human
4229-d,1476995992352.0,14,close,target,6,7,50,3,3,distr1,285,15,50,1,1,distr2,348,21,50,2,2,16,13,13,True,1476995971385.0,speaker,Not dark pink nor purple,350.0,1.0,5,20,14.0,3.0,human
3682-7,1477001506153.0,34,close,target,100,40,50,2,1,distr1,83,65,50,3,3,distr2,111,87,50,1,2,12,16,10,True,1477001503462.0,speaker,dull olive,236.0,1.0,2,9,9.0,2.0,human
8984-7,1477001978525.0,44,far,target,125,69,50,2,3,distr2,284,52,50,3,1,distr1,291,6,50,1,2,53,97,24,True,1477001976550.0,speaker,green,295.0,1.0,1,5,5.0,1.0,human
3999-9,1476992068345.0,21,split,target,219,51,50,1,1,distr1,252,59,50,3,3,distr2,340,22,50,2,2,18,29,30,True,1476992064131.0,speaker,lighter less purple blue,233.0,1.0,4,21,21.0,4.0,human
1686-e,1476992078468.0,26,split,target,241,3,50,1,3,distr1,230,21,50,3,2,distr2,325,73,50,2,1,14,27,30,True,1476992076252.0,speaker,grayest,287.0,1.0,1,7,7.0,1.0,human
8063-b,1476990196602.0,27,close,target,255,40,50,3,3,distr1,249,62,50,1,2,distr2,218,56,50,2,1,9,16,19,True,1476990169548.0,speaker,um,487.0,1.0,1,2,2.0,1.0,human
9921-8,1476995382093.0,33,far,target,49,36,50,3,2,distr2,296,42,50,1,3,distr1,8,70,50,2,1,39,60,36,True,1476995380328.0,speaker,brown,262.0,1.0,1,5,5.0,1.0,human
2448-0,1476506271420.0,45,far,target,357,58,50,2,2,distr1,232,12,50,3,3,distr2,105,73,50,1,1,33,80,50,True,1476506269948.0,speaker,reddish,908.0,1.0,1,7,7.0,1.0,human
9544-2,1476474616372.0,50,far,target,160,97,50,1,2,distr1,23,8,50,3,3,distr2,330,32,50,2,1,42,79,24,True,1476474614998.0,speaker,teal blue,742.0,1.0,2,8,8.0,2.0,human
9054-b,1476997621928.0,10,split,target,48,12,50,3,2,distr2,105,60,50,2,1,distr1,25,38,50,1,3,18,28,46,True,1476997619381.0,speaker,greyish,335.0,1.0,1,7,7.0,1.0,human
1146-c,1476989733215.0,1,close,target,120,14,50,3,2,distr1,52,17,50,1,3,distr2,68,4,50,2,1,14,15,11,True,1476989731026.0,speaker,greenish,316.0,1.0,1,8,8.0,1.0,human
2730-a,1476990168572.0,16,far,target,151,27,50,3,3,distr1,323,58,50,2,2,distr2,257,12,50,1,1,67,34,22,True,1476990158941.0,speaker,green,454.0,1.0,1,5,5.0,1.0,human
3681-3,1476495765010.0,37,far,target,344,92,50,2,1,distr2,41,56,50,3,3,distr1,109,82,50,1,2,89,43,36,True,1476495764099.0,speaker,pink,123.0,1.0,1,4,4.0,1.0,human
6720-4,1476994770485.0,32,close,target,127,89,50,2,3,distr1,89,95,50,1,1,distr2,95,79,50,3,2,7,5,5,True,1476994750819.0,listener,more blue or less blue,222.0,1.0,5,18,12.0,3.0,human
5936-8,1476473402453.0,42,close,target,142,49,50,3,2,distr2,102,80,50,1,1,distr1,78,48,50,2,3,15,15,13,True,1476473380130.0,listener,what does qq mean?,590.0,1.0,4,14,6.0,2.0,human
2639-b,1476989478805.0,37,close,target,159,64,50,2,2,distr2,108,55,50,1,1,distr1,150,57,50,3,3,5,15,11,True,1476989437967.0,speaker,blue,271.0,1.0,1,4,4.0,1.0,human
1670-2,1476992245302.0,42,close,target,93,45,50,1,1,distr1,104,27,50,2,2,distr2,108,61,50,3,3,9,7,14,True,1476992239281.0,speaker,Not olive/army green and not primary green...the middle green of the three,590.0,1.0,12,59,42.0,8.0,human
8844-9,1476994164012.0,29,split,distr1,12,64,50,3,1,distr2,61,14,50,2,2,target,10,50,50,1,3,5,32,34,False,1476994160533.0,speaker,muted drabber red,313.0,0.0,3,15,15.0,3.0,human
9993-d,1476993953079.0,42,split,target,206,3,50,3,2,distr2,133,74,50,2,1,distr1,210,12,50,1,3,6,38,44,True,1476993951536.0,speaker,gray,262.0,1.0,1,4,4.0,1.0,human
8295-7,1476988404396.0,9,close,target,112,70,50,3,1,distr2,137,97,50,2,2,distr1,86,51,50,1,3,9,8,16,True,1476988367195.0,speaker,grass green,188.0,1.0,2,10,10.0,2.0,human
4131-6,1476996350177.0,24,split,target,202,50,50,2,1,distr1,215,27,50,3,2,distr2,91,51,50,1,3,12,52,52,True,1476996347057.0,speaker,blue,302.0,1.0,1,4,4.0,1.0,human
3800-7,1476500376559.0,27,close,target,266,75,50,2,2,distr1,291,38,50,3,1,distr2,254,67,50,1,3,15,5,18,True,1476500360657.0,speaker,the blue/purple. Not the dark blue,,1.0,6,27,18.0,4.0,human
7018-f,1476992993567.0,48,close,target,130,16,50,2,2,distr2,168,40,50,3,3,distr1,171,24,50,1,1,10,13,8,True,1476992991309.0,speaker,s,424.0,1.0,1,1,1.0,1.0,human
6491-5,1476476624479.0,30,close,target,70,41,50,1,1,distr2,83,65,50,3,2,distr1,139,68,50,2,3,18,10,13,True,1476476622975.0,speaker,caca,258.0,1.0,1,4,4.0,1.0,human
5402-2,1476487568587.0,29,far,target,225,31,50,3,1,distr1,84,33,50,2,3,distr2,311,29,50,1,2,51,23,62,True,1476487565650.0,speaker,blue,823.0,1.0,1,4,4.0,1.0,human
8719-a,1476989123809.0,50,far,target,56,91,50,1,1,distr2,247,3,50,3,2,distr1,108,78,50,2,3,25,46,42,True,1476989122650.0,speaker,Yellow,317.0,1.0,1,6,6.0,1.0,human
1220-a,1459892814353.0,40,far,target,72,73,50,3,3,distr2,165,14,50,2,2,distr1,330,29,50,1,1,69,34,32,True,1459892811790.0,speaker,they love this color,34.0,1.0,4,17,9.0,2.0,human
9903-d,1476489446403.0,3,far,target,2,98,50,2,1,distr2,22,9,50,3,3,distr1,153,41,50,1,2,67,28,31,True,1476489443311.0,speaker,Red,865.0,1.0,1,3,3.0,1.0,human
7830-6,1476470147304.0,39,close,target,75,72,50,3,1,distr2,64,93,50,2,2,distr1,88,91,50,1,3,8,10,14,True,1476470122364.0,listener,"lol, that one was way hard",345.0,1.0,6,20,13.0,4.0,human
7917-a,1476994384547.0,50,split,target,109,51,50,1,3,distr2,269,32,50,3,2,distr1,81,79,50,2,1,13,57,83,True,1476994382900.0,speaker,muted green,648.0,1.0,2,10,10.0,2.0,human
2377-f,1476992377404.0,4,far,target,325,56,50,3,2,distr1,6,91,50,2,3,distr2,234,89,50,1,1,32,30,52,True,1476992375513.0,speaker,pink,,1.0,1,4,4.0,1.0,human
8994-b,1476472853553.0,33,far,target,5,19,50,2,3,distr1,41,52,50,3,1,distr2,268,96,50,1,2,29,36,69,True,1476472851289.0,speaker,lilacs,694.0,1.0,1,6,6.0,1.0,human
4941-4,1476497906903.0,30,far,target,59,63,50,3,1,distr2,302,41,50,1,3,distr1,37,89,50,2,2,25,76,59,True,1476497905047.0,speaker,yellow,874.0,1.0,1,6,6.0,1.0,human
6673-7,1476499397125.0,35,close,target,76,58,50,1,1,distr1,98,76,50,2,2,distr2,59,59,50,3,3,10,9,18,True,1476499393237.0,speaker,"olive yellow, greener of the yellows",375.0,1.0,6,30,25.0,4.0,human
1745-9,1476480181779.0,36,close,distr1,97,87,50,2,1,target,102,52,50,1,2,distr2,83,84,50,3,3,11,12,5,False,1476480168538.0,speaker,apple green,667.0,0.0,2,10,10.0,2.0,human
1274-7,1476493783589.0,49,close,target,251,40,50,3,1,distr1,237,65,50,1,2,distr2,270,69,50,2,3,9,10,11,True,1476493775353.0,speaker,purple light,549.0,1.0,2,11,11.0,2.0,human
0448-f,1476992065708.0,29,far,target,91,36,50,1,3,distr1,181,69,50,2,2,distr2,265,8,50,3,1,31,37,40,True,1476992062508.0,speaker,yellow green,236.0,1.0,2,11,11.0,2.0,human
6720-4,1476994933920.0,48,split,target,287,42,50,1,2,distr1,294,25,50,3,3,distr2,88,81,50,2,1,8,92,80,True,1476994929441.0,listener,lol,222.0,1.0,1,3,3.0,1.0,human
2010-8,1476996658328.0,44,close,target,215,24,50,3,3,distr1,218,52,50,1,1,distr2,246,32,50,2,2,8,13,13,True,1476996632838.0,listener,bam,330.0,1.0,1,3,3.0,1.0,human
0513-8,1476999965617.0,18,far,target,259,54,50,3,1,distr2,183,50,50,1,3,distr1,140,46,50,2,2,60,46,25,True,1476999963777.0,speaker,bright purple,549.0,1.0,2,12,12.0,2.0,human
7984-6,1476993443040.0,9,far,target,268,51,50,2,2,distr2,337,40,50,1,3,distr1,211,47,50,3,1,25,23,37,True,1476993440614.0,speaker,purple,566.0,1.0,1,6,6.0,1.0,human
