gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
7653-9,1476993397794.0,50,far,target,273,12,50,2,3,distr1,60,23,50,3,2,distr2,314,82,50,1,1,40,23,62,True,1476993396250.0,speaker,grey purple,565.0,1.0,2,10,10.0,2.0,human
2651-e,1476504207577.0,30,split,target,296,35,50,1,3,distr1,298,97,50,2,2,distr2,214,27,50,3,1,15,25,33,True,1476504184178.0,speaker,more purple,880.0,1.0,2,10,6.0,1.0,human
2651-e,1476504302803.0,33,split,target,248,4,50,1,1,distr2,46,67,50,2,3,distr1,27,2,50,3,2,7,38,30,True,1476504279213.0,speaker,You got it,880.0,1.0,3,8,3.0,1.0,human
3900-b,1476496486454.0,46,split,distr1,281,8,50,1,1,target,302,24,50,3,3,distr2,176,10,50,2,2,14,24,22,False,1476496475096.0,speaker,not dull/it is a color/it is a bright shade of the two similar,931.0,0.0,13,48,30.0,6.0,human
8084-4,1476995111753.0,4,close,target,154,94,50,2,3,distr2,142,71,50,3,2,distr1,90,90,50,1,1,15,7,13,True,1476995108827.0,speaker,"Lightest green, mint",562.0,1.0,3,17,17.0,3.0,human
2918-7,1476489920871.0,46,split,target,121,12,50,3,3,distr2,196,67,50,2,2,distr1,90,44,50,1,1,19,32,48,True,1476489915088.0,speaker,gray green,834.0,1.0,2,9,9.0,2.0,human
0713-f,1476988280924.0,13,split,target,96,61,50,1,2,distr2,241,37,50,3,1,distr1,156,89,50,2,3,16,67,63,True,1476988278860.0,speaker,green,201.0,1.0,1,5,5.0,1.0,human
9993-d,1476993833803.0,31,close,distr2,161,6,50,2,2,target,93,5,50,3,3,distr1,316,0,50,1,1,8,5,9,False,1476993830909.0,speaker,the lightest color,262.0,0.0,3,16,13.0,2.0,human
6977-4,1476478138509.0,23,far,target,94,46,50,2,1,distr1,258,0,50,1,3,distr2,358,30,50,3,2,30,58,23,True,1476478137382.0,speaker,green,236.0,1.0,1,5,5.0,1.0,human
1173-5,1476998480689.0,14,close,target,321,91,50,1,1,distr2,294,38,50,2,2,distr1,312,61,50,3,3,8,14,7,True,1476998475431.0,speaker,neon pink bright,295.0,1.0,3,14,14.0,3.0,human
7241-4,1476488063531.0,46,close,target,342,40,50,1,3,distr1,351,11,50,2,2,distr2,316,5,50,3,1,15,19,6,True,1476488062167.0,speaker,red,792.0,1.0,1,3,3.0,1.0,human
0265-e,1476990039445.0,15,split,target,51,58,50,3,2,distr2,226,25,50,1,1,distr1,62,22,50,2,3,15,54,44,True,1476990037024.0,speaker,sun color,448.0,1.0,2,8,8.0,2.0,human
8762-f,1477005697326.0,38,close,distr1,320,53,50,3,3,target,345,69,50,1,1,distr2,326,26,50,2,2,17,17,10,False,1477005695578.0,speaker,pink bright,44.0,0.0,2,10,10.0,2.0,human
6617-1,1476469347897.0,23,split,target,18,80,50,3,3,distr2,273,54,50,2,2,distr1,356,92,50,1,1,11,48,42,True,1476469345747.0,speaker,orange,662.0,1.0,1,6,6.0,1.0,human
3000-6,1476996415305.0,36,close,target,165,23,50,1,3,distr2,199,39,50,2,1,distr1,176,8,50,3,2,12,19,13,True,1476996411506.0,speaker,closer to sea colored than sky colored,655.0,1.0,7,32,26.0,5.0,human
8516-9,1459895579485.0,30,far,target,333,74,50,2,2,distr1,118,8,50,1,3,distr2,176,64,50,3,1,49,70,25,True,1459895575823.0,speaker,pink,22.0,1.0,1,4,4.0,1.0,human
3398-5,1476488322352.0,2,far,target,102,61,50,3,1,distr2,186,60,50,1,3,distr1,26,5,50,2,2,35,37,30,True,1476488320978.0,speaker,green,44.0,1.0,1,5,5.0,1.0,human
7675-4,1476992739386.0,17,split,target,234,58,50,2,1,distr2,341,40,50,1,2,distr1,228,39,50,3,3,10,32,31,True,1476992736284.0,speaker,dark blue,403.0,1.0,2,8,8.0,2.0,human
8994-b,1476473068695.0,49,far,target,205,77,50,3,2,distr2,87,47,50,2,1,distr1,70,4,50,1,3,31,59,26,True,1476473067620.0,speaker,sky,694.0,1.0,1,3,3.0,1.0,human
6576-b,1476500153270.0,28,far,target,180,12,50,2,2,distr2,350,8,50,1,3,distr1,23,93,50,3,1,40,28,30,True,1476500151986.0,speaker,blue grey,794.0,1.0,2,8,8.0,2.0,human
0851-9,1476992654489.0,23,far,target,63,96,50,3,1,distr2,143,54,50,1,3,distr1,216,86,50,2,2,83,29,57,True,1476992652881.0,speaker,yellow,451.0,1.0,1,6,6.0,1.0,human
2799-8,1476989146144.0,36,close,target,152,55,50,3,3,distr1,155,92,50,1,1,distr2,128,38,50,2,2,12,8,17,True,1476989087507.0,speaker,omg,224.0,1.0,1,3,3.0,1.0,human
7862-1,1476499989036.0,22,close,target,234,89,50,2,3,distr1,263,92,50,1,1,distr2,255,29,50,3,2,6,18,17,True,1476499986424.0,speaker,deep blue,954.0,1.0,2,8,8.0,2.0,human
0495-0,1476472079673.0,35,split,target,272,0,50,1,1,distr2,110,84,50,3,2,distr1,331,12,50,2,3,15,39,61,True,1476472078771.0,speaker,grey,688.0,1.0,1,4,4.0,1.0,human
9245-3,1476485895275.0,33,far,target,282,80,50,3,1,distr2,13,55,50,2,3,distr1,116,95,50,1,2,110,42,72,True,1476485893744.0,speaker,dark purple,,1.0,2,10,10.0,2.0,human
9520-5,1476471132605.0,23,close,target,278,38,50,3,2,distr2,286,79,50,1,3,distr1,315,27,50,2,1,12,10,17,True,1476471130953.0,speaker,purple,682.0,1.0,1,6,6.0,1.0,human
8063-b,1476989886863.0,12,close,target,294,45,50,2,2,distr1,273,59,50,3,1,distr2,319,72,50,1,3,10,10,19,True,1476989883884.0,speaker,dull purple,487.0,1.0,2,10,10.0,2.0,human
1055-e,1476992614166.0,23,split,distr1,76,43,50,3,2,target,153,72,50,2,3,distr2,300,5,50,1,1,19,42,41,False,1476992611906.0,speaker,Light green,433.0,0.0,2,10,10.0,2.0,human
6149-8,1476992805452.0,31,far,target,318,17,50,2,1,distr2,19,32,50,1,3,distr1,201,41,50,3,2,36,23,38,True,1476992803898.0,listener,Damn my bad that was dumb,385.0,1.0,6,20,11.0,3.0,human
1470-6,1476999792799.0,34,far,target,37,88,50,3,3,distr1,146,36,50,1,2,distr2,206,70,50,2,1,43,53,42,True,1476999791764.0,speaker,orange,358.0,1.0,1,6,6.0,1.0,human
0429-9,1459892808508.0,40,far,target,89,37,50,2,3,distr1,329,73,50,1,2,distr2,34,89,50,3,1,73,38,50,True,1459892805553.0,speaker,army,136.0,1.0,1,4,4.0,1.0,human
5868-8,1476999893157.0,27,far,target,247,3,50,2,1,distr2,69,83,50,3,2,distr1,4,93,50,1,3,32,46,67,True,1476999892036.0,speaker,gray,300.0,1.0,1,4,4.0,1.0,human
8089-4,1477003409764.0,1,split,target,127,80,50,3,1,distr1,112,64,50,2,2,distr2,260,28,50,1,3,5,61,59,True,1477003391049.0,listener,hi,418.0,1.0,1,2,2.0,1.0,human
1102-0,1476992421382.0,29,close,target,289,83,50,2,2,distr1,260,26,50,3,3,distr2,261,38,50,1,1,18,15,6,True,1476992420100.0,speaker,bright purple,644.0,1.0,2,12,12.0,2.0,human
8994-b,1476472664075.0,23,far,target,221,4,50,1,3,distr1,51,65,50,3,2,distr2,12,73,50,2,1,38,31,43,True,1476472659479.0,listener,it's fine!,,1.0,2,8,4.0,1.0,human
3791-8,1476990212375.0,35,split,distr1,183,70,50,1,1,target,172,41,50,2,2,distr2,231,30,50,3,3,11,38,41,False,1476990205683.0,speaker,"Green blue, more green than blue",497.0,0.0,6,26,18.0,4.0,human
6706-9,1476989914995.0,14,far,target,303,50,50,1,1,distr1,218,90,50,2,3,distr2,199,95,50,3,2,27,51,26,True,1476989913351.0,speaker,the purple,494.0,1.0,2,9,6.0,1.0,human
3321-5,1476470528102.0,14,far,distr2,51,43,50,1,2,distr1,309,71,50,3,3,target,121,43,50,2,1,90,23,67,False,1476470525600.0,speaker,grass... kind of,266.0,0.0,3,11,9.0,2.0,human
9804-0,1476991193936.0,50,far,target,61,88,50,1,3,distr1,114,12,50,3,2,distr2,186,97,50,2,1,36,47,33,True,1476991192665.0,speaker,yellow,,1.0,1,6,6.0,1.0,human
1773-7,1476989808285.0,25,split,target,14,50,50,3,3,distr1,2,84,50,1,2,distr2,53,21,50,2,1,11,30,40,True,1476989804338.0,speaker,"mauve, not bright red, not gray",423.0,1.0,6,24,18.0,4.0,human
2811-d,1476993119015.0,41,far,target,189,47,50,3,1,distr1,167,73,50,1,2,distr2,357,38,50,2,3,24,59,68,True,1476993114653.0,speaker,darker,480.0,1.0,1,6,6.0,1.0,human
9978-f,1476993009129.0,7,far,target,51,75,50,3,3,distr1,337,73,50,1,2,distr2,223,68,50,2,1,64,74,37,True,1476993007710.0,speaker,yellow,213.0,1.0,1,6,6.0,1.0,human
2811-d,1476993196133.0,44,far,target,323,38,50,1,2,distr1,58,64,50,3,1,distr2,145,79,50,2,3,69,84,26,True,1476993152561.0,speaker,purple,480.0,1.0,1,6,6.0,1.0,human
4505-b,1476469148641.0,18,split,target,20,62,50,3,2,distr2,211,89,50,1,1,distr1,27,75,50,2,3,8,48,52,True,1476469147271.0,speaker,darker orange,676.0,1.0,2,12,12.0,2.0,human
6513-c,1476491918604.0,12,far,target,186,18,50,2,2,distr1,42,96,50,3,1,distr2,263,87,50,1,3,41,32,78,True,1476491872835.0,speaker,grass,846.0,1.0,1,5,5.0,1.0,human
9536-4,1459888989483.0,14,far,target,83,24,50,2,3,distr2,266,83,50,3,1,distr1,320,41,50,1,2,59,75,23,True,1459888987759.0,speaker,the army green box,83.0,1.0,4,15,12.0,3.0,human
7862-1,1476500080152.0,26,far,target,182,39,50,2,3,distr2,307,70,50,3,2,distr1,255,13,50,1,1,33,43,24,True,1476500077125.0,speaker,light teal,954.0,1.0,2,9,9.0,2.0,human
7412-4,1476990685162.0,13,far,target,266,48,50,1,1,distr2,332,96,50,3,3,distr1,169,65,50,2,2,56,31,81,True,1476990677687.0,speaker,that was hard,465.0,1.0,3,11,4.0,1.0,human
4958-b,1476992290869.0,37,far,target,65,41,50,1,3,distr2,298,30,50,2,1,distr1,235,99,50,3,2,86,66,26,True,1476992285839.0,speaker,green,508.0,1.0,1,5,5.0,1.0,human
2227-c,1476472080041.0,39,close,target,104,55,50,2,3,distr1,142,81,50,3,2,distr2,118,28,50,1,1,9,13,18,True,1476472069540.0,speaker,green with a yellow tint,319.0,1.0,5,20,15.0,3.0,human
1557-f,1476488508245.0,34,far,target,159,11,50,2,2,distr2,342,72,50,3,3,distr1,290,56,50,1,1,34,47,25,True,1476488505868.0,speaker,gray,791.0,1.0,1,4,4.0,1.0,human
3942-1,1476993720665.0,19,split,target,303,2,50,1,3,distr1,196,18,50,3,2,distr2,335,76,50,2,1,17,26,41,True,1476993717036.0,speaker,"haha thanks, you're doing well...the regular gray",273.0,1.0,7,39,25.0,5.0,human
8642-0,1476994313539.0,47,split,target,336,23,50,2,1,distr2,71,73,50,3,3,distr1,289,41,50,1,2,17,63,84,True,1476994301001.0,speaker,dark purple,222.0,1.0,2,10,10.0,2.0,human
8963-3,1476489828510.0,20,far,target,0,50,50,1,1,distr2,300,69,50,2,3,distr1,71,27,50,3,2,49,32,70,True,1476489816115.0,listener,sorry,752.0,1.0,1,5,5.0,1.0,human
7334-e,1476472528536.0,28,split,distr1,321,54,50,2,3,distr2,117,67,50,3,1,target,333,56,50,1,2,7,88,92,False,1476472526586.0,speaker,duller pink,286.0,0.0,2,10,10.0,2.0,human
4992-e,1476991113153.0,20,close,target,66,78,50,2,1,distr1,105,74,50,3,2,distr2,83,66,50,1,3,17,10,7,True,1476991111507.0,speaker,yellow,226.0,1.0,1,6,6.0,1.0,human
8642-0,1476994134139.0,32,close,distr2,202,18,50,3,2,target,177,22,50,1,3,distr1,235,0,50,2,1,19,14,11,False,1476994131751.0,speaker,"blue gray, the lighter one",222.0,0.0,5,21,18.0,4.0,human
4119-5,1476989188843.0,8,far,distr2,354,39,50,2,2,distr1,219,46,50,3,3,target,252,99,50,1,1,22,37,36,False,1476989186001.0,speaker,purple,215.0,0.0,1,6,6.0,1.0,human
2200-3,1477000159775.0,23,split,target,154,53,50,2,3,distr2,302,55,50,1,2,distr1,161,30,50,3,1,11,55,44,True,1477000093027.0,listener,the bolder of the 2 greens?,565.0,1.0,5,20,12.0,2.0,human
1686-e,1476991742232.0,4,close,distr2,324,86,50,3,3,target,327,58,50,2,2,distr1,304,75,50,1,1,13,6,11,False,1476991737598.0,speaker,darkest pink,287.0,0.0,2,11,11.0,2.0,human
9960-e,1459897060547.0,1,far,target,152,90,50,3,3,distr2,307,90,50,2,1,distr1,351,17,50,1,2,62,101,26,True,1459897052890.0,speaker,green,126.0,1.0,1,5,5.0,1.0,human
2653-0,1459891660085.0,22,far,target,110,67,50,2,2,distr1,30,27,50,3,1,distr2,15,95,50,1,3,40,73,23,True,1459891659057.0,speaker,green,192.0,1.0,1,5,5.0,1.0,human
1641-c,1476474097740.0,5,split,target,152,26,50,1,2,distr2,40,93,50,3,3,distr1,175,23,50,2,1,10,39,40,True,1476474096633.0,speaker,greengreen,751.0,1.0,1,10,10.0,1.0,human
6617-1,1476469109205.0,5,far,target,6,20,50,3,2,distr1,212,89,50,1,3,distr2,121,12,50,2,1,35,37,42,True,1476469107633.0,speaker,kinda peach,662.0,1.0,2,10,10.0,2.0,human
4710-7,1476500246634.0,16,close,target,301,87,50,1,1,distr2,317,99,50,2,3,distr1,325,42,50,3,2,17,9,13,True,1476500238870.0,speaker,"brightest, brighter and dull?",950.0,1.0,4,24,21.0,3.0,human
8343-d,1476502969871.0,30,close,target,65,85,50,1,1,distr1,60,71,50,3,3,distr2,95,58,50,2,2,5,17,18,True,1476502964312.0,speaker,the greenish yellow?,402.0,1.0,3,17,14.0,2.0,human
2914-3,1476991117506.0,16,close,target,104,65,50,2,3,distr1,73,60,50,1,2,distr2,91,77,50,3,1,11,5,9,True,1476991111934.0,listener,Rule out the lemon-green,552.0,1.0,4,20,14.0,3.0,human
3285-0,1476994200560.0,11,close,target,9,10,50,3,3,distr2,235,7,50,1,2,distr1,6,22,50,2,1,9,13,19,True,1476994195531.0,speaker,they grayer brown,330.0,1.0,3,15,11.0,2.0,human
6106-f,1476998185094.0,1,far,target,224,40,50,1,1,distr1,195,56,50,3,3,distr2,147,57,50,2,2,25,52,37,True,1476998176499.0,listener,hi,222.0,1.0,1,2,2.0,1.0,human
2730-a,1476990759705.0,47,split,target,253,59,50,1,2,distr2,56,6,50,3,1,distr1,220,46,50,2,3,18,46,34,True,1476990727863.0,speaker,hmm I dont see a purple..is the blue a dark grey sky blue?,454.0,1.0,13,43,35.0,9.0,human
3375-a,1477001080195.0,18,far,target,257,61,50,3,2,distr2,340,74,50,1,3,distr1,191,0,50,2,1,34,34,28,True,1477001078791.0,speaker,blue,449.0,1.0,1,4,4.0,1.0,human
9191-c,1476474016939.0,49,split,distr1,18,46,50,3,1,distr2,109,4,50,2,3,target,38,51,50,1,2,19,25,29,False,1476474000694.0,speaker,cardboard not orange,750.0,0.0,3,18,15.0,2.0,human
4229-d,1476995910801.0,12,far,target,44,13,50,1,3,distr2,301,78,50,2,2,distr1,350,42,50,3,1,32,47,26,True,1476995907745.0,speaker,not pink nor orange-ish.,350.0,1.0,4,19,13.0,3.0,human
4003-8,1476992720429.0,26,split,target,215,10,50,3,2,distr1,227,23,50,1,3,distr2,332,83,50,2,1,12,33,34,True,1476992715666.0,speaker,lightest gray,252.0,1.0,2,12,12.0,2.0,human
0813-a,1459897722369.0,5,split,target,146,90,50,2,2,distr1,95,83,50,3,3,distr2,310,51,50,1,1,10,96,95,True,1459897710782.0,listener,darker green?,44.0,1.0,2,11,11.0,2.0,human
7334-e,1476472485777.0,24,far,target,18,68,50,3,2,distr2,299,48,50,2,1,distr1,168,21,50,1,3,44,41,36,True,1476472484505.0,speaker,orange,286.0,1.0,1,6,6.0,1.0,human
6568-5,1476475485812.0,3,far,target,335,95,50,3,2,distr1,82,69,50,2,1,distr2,308,11,50,1,3,82,24,58,True,1476475481053.0,speaker,dark pink,,1.0,2,8,8.0,2.0,human
0881-5,1459881160493.0,5,split,target,57,16,50,1,1,distr1,113,31,50,2,2,distr2,221,48,50,3,3,16,47,52,True,1459881156104.0,speaker,most olive green one,27.0,1.0,4,17,13.0,3.0,human
8972-7,1476990743137.0,2,close,target,158,65,50,1,3,distr1,89,59,50,2,2,distr2,125,57,50,3,1,17,13,8,True,1476990740901.0,speaker,I think it is teal,525.0,1.0,5,14,9.0,2.0,human
9617-0,1476475051567.0,10,split,target,151,62,50,3,2,distr2,203,28,50,2,3,distr1,166,96,50,1,1,12,38,40,True,1476475046529.0,speaker,the target is the green color. not the turquoise one,746.0,1.0,10,42,28.0,5.0,human
8642-0,1476994237013.0,41,split,target,251,85,50,3,2,distr2,162,26,50,2,3,distr1,255,50,50,1,1,9,50,45,True,1476994232977.0,speaker,not purp,222.0,1.0,2,7,4.0,1.0,human
5313-a,1476992331386.0,8,split,target,259,39,50,3,3,distr2,142,48,50,1,2,distr1,225,45,50,2,1,12,55,53,True,1476992330079.0,speaker,more purple,634.0,1.0,2,10,6.0,1.0,human
7277-5,1459892577514.0,3,split,target,198,15,50,3,3,distr1,201,91,50,2,2,distr2,98,71,50,1,1,18,42,63,True,1459892575703.0,speaker,gray blue,184.0,1.0,2,8,8.0,2.0,human
5896-6,1476990640731.0,34,split,target,209,38,50,3,1,distr1,233,27,50,1,2,distr2,82,86,50,2,3,13,62,66,True,1476990639804.0,listener,ok,452.0,1.0,1,2,2.0,1.0,human
3546-9,1476492580849.0,9,close,target,172,0,50,2,3,distr1,83,11,50,1,1,distr2,117,8,50,3,2,14,13,5,True,1476492577733.0,speaker,purpleish grey,340.0,1.0,2,13,13.0,2.0,human
2576-f,1476993346253.0,24,far,target,242,89,50,1,1,distr2,48,60,50,3,2,distr1,98,12,50,2,3,52,83,25,True,1476993333138.0,speaker,blue,251.0,1.0,1,4,4.0,1.0,human
6617-1,1476469500500.0,31,split,distr1,100,17,50,3,2,distr2,2,34,50,1,3,target,119,7,50,2,1,9,37,43,False,1476469491359.0,listener,thanks,414.0,0.0,1,6,6.0,1.0,human
6378-3,1476993505030.0,12,split,distr2,29,96,50,1,2,target,70,38,50,3,3,distr1,95,51,50,2,1,10,38,51,False,1476993500789.0,speaker,brownish,258.0,0.0,1,8,8.0,1.0,human
2780-1,1459887281554.0,32,split,target,272,67,50,2,1,distr1,238,56,50,3,3,distr2,209,87,50,1,2,11,31,25,True,1459887279797.0,speaker,Blunder years lipstick again...,133.0,1.0,4,25,20.0,3.0,human
5451-1,1476991031623.0,6,split,target,156,17,50,3,1,distr1,201,7,50,1,2,distr2,5,79,50,2,3,16,51,37,True,1476991029542.0,speaker,forest green,382.0,1.0,2,11,11.0,2.0,human
4166-4,1476480070713.0,1,split,target,37,88,50,3,2,distr1,26,84,50,2,1,distr2,265,71,50,1,3,14,70,58,True,1476480067220.0,speaker,Choose the lighter of the two oranges,769.0,1.0,7,31,23.0,4.0,human
5754-b,1476990317867.0,6,far,target,142,61,50,2,1,distr1,342,8,50,1,2,distr2,187,85,50,3,3,47,35,52,True,1476990315733.0,speaker,green,341.0,1.0,1,5,5.0,1.0,human
7905-9,1476988413753.0,11,split,target,114,7,50,1,1,distr2,344,37,50,2,2,distr1,139,28,50,3,3,15,39,59,True,1476988410885.0,speaker,the color is a weird grey/green,264.0,1.0,6,25,19.0,4.0,human
8063-b,1476989672425.0,1,far,target,139,76,50,3,1,distr2,168,44,50,1,3,distr1,12,71,50,2,2,74,21,58,True,1476989669853.0,speaker,green,487.0,1.0,1,5,5.0,1.0,human
0811-5,1459885903907.0,7,split,target,345,3,50,2,3,distr1,87,3,50,1,1,distr2,128,58,50,3,2,9,38,30,True,1459885901646.0,speaker,the grey that seems slightly more purple,169.0,1.0,7,34,23.0,4.0,human
3112-8,1476473051076.0,13,far,target,96,61,50,1,1,distr1,116,2,50,2,2,distr2,210,60,50,3,3,32,62,26,True,1476473049729.0,speaker,The green.,698.0,1.0,2,8,5.0,1.0,human
1776-b,1476497402455.0,25,split,target,49,36,50,3,3,distr1,96,21,50,2,2,distr2,294,95,50,1,1,15,67,72,True,1476497401214.0,speaker,yellow,883.0,1.0,1,6,6.0,1.0,human
7001-2,1476478878788.0,20,split,target,343,98,50,2,3,distr2,75,2,50,3,1,distr1,329,59,50,1,2,18,32,31,True,1476478872420.0,speaker,coral red,667.0,1.0,2,8,8.0,2.0,human
2651-e,1476504331187.0,34,close,target,227,17,50,3,3,distr2,260,1,50,1,2,distr1,159,3,50,2,1,17,14,6,True,1476504309973.0,speaker,Yeah!,880.0,1.0,1,4,4.0,1.0,human
8814-1,1476990300272.0,19,far,target,49,93,50,1,3,distr2,189,79,50,3,1,distr1,164,95,50,2,2,39,49,30,True,1476990298245.0,speaker,yellow,348.0,1.0,1,6,6.0,1.0,human
1686-e,1476992188423.0,34,far,target,130,32,50,1,2,distr1,194,99,50,2,3,distr2,357,81,50,3,1,43,68,66,True,1476992187078.0,speaker,green,287.0,1.0,1,5,5.0,1.0,human
5830-5,1476992902126.0,39,far,target,32,33,50,2,1,distr1,349,83,50,1,3,distr2,277,77,50,3,2,30,53,37,True,1476992899311.0,speaker,brown,365.0,1.0,1,5,5.0,1.0,human
8235-6,1459877534591.0,20,close,target,276,73,50,1,3,distr1,292,45,50,3,1,distr2,316,81,50,2,2,10,19,12,True,1459877531108.0,speaker,"dark purple (good job on the last two, by the way)",968.0,1.0,11,37,27.0,7.0,human
4992-e,1476991401080.0,48,split,target,89,75,50,3,1,distr2,335,34,50,1,3,distr1,153,70,50,2,2,16,76,75,True,1476991399958.0,speaker,neon green,226.0,1.0,2,9,9.0,2.0,human
2159-2,1476989079501.0,34,split,target,145,49,50,3,2,distr1,128,65,50,1,1,distr2,100,2,50,2,3,10,27,33,True,1476989077821.0,speaker,sea green,267.0,1.0,2,8,8.0,2.0,human
4391-a,1477000011427.0,1,close,target,346,22,50,2,2,distr1,305,39,50,1,1,distr2,323,22,50,3,3,17,7,11,True,1477000010085.0,speaker,brown,222.0,1.0,1,5,5.0,1.0,human
